#  RA  Dec  l  b
208.913  47.7693  455.904  65.8504
209.423  -11.1535  327.882  48.4813
209.809  19.9241  371.638  72.8932
209.877  53.9341  462.501  60.4121
209.109  12.038  351.376  68.5516
209.512  42.6327  446.082  69.4147
210.097  24.4547  386.998  74.2642
209.394  6.1997  342.818  63.8234
207.923  57.6761  467.869  57.6563
208.224  56.8386  466.897  58.3363
211.002  29.6524  406.179  73.8588
210.646  -24.6367  322.857  35.4661
212.61  41.5221  439.645  68.3435
212.464  23.5976  385.996  71.9572
210.454  34.6402  423.73  73.1696
209.89  53.7034  462.24  60.6039
209.209  63.9691  471.433  51.6754
209.128  -5.8304  330.846  53.4765
213.34  31.8559  412.708  71.589
209.555  27.3094  397.458  75.163
213.881  46.6703  448.212  64.3894
213.05  -2.14284  339.731  54.8514
210.482  37.3528  431.872  71.975
209.702  1.35385  337.821  59.581
209.175  29.2739  405.23  75.4745
208.54  24.8102  387.096  75.7232
208.406  42.3585  447.166  70.1893
208.925  26.3334  393.406  75.6389
210.269  44.6306  448.918  67.6217
207.951  27.2424  396.871  76.5836
210.807  43.956  446.938  67.8204
206.667  -1.6561  329.918  58.2911
211.423  14.5033  360.524  68.5898
211.538  59.3656  466.274  55.2816
210.12  28.9688  403.844  74.67
208.893  5.64229  341.177  63.6444
209.913  -3.90051  333.487  54.8719
212.787  13.3011  360.288  66.8036
212.282  15.9208  365.011  68.784
209.741  58.5211  466.991  56.4692
212.523  45.2284  447.192  66.059
207.52  51.4407  462.381  63.285
211.851  10.9781  354.461  65.9199
210.118  18.6874  368.549  72.0281
212.242  23.9624  386.973  72.2474
211.517  55.9582  463.058  58.198
208.759  20.4188  371.549  73.9959
209.397  48.6184  456.509  64.9778
211.747  46.8058  450.847  65.3404
208.837  27.887  399.678  75.8187
212.206  47.3945  451.273  64.6986
209.888  27.331  397.604  74.8689
209.152  44.4412  450.113  68.307
209.282  37.8427  434.865  72.5339
211.121  41.0716  440.476  69.5114
208.692  46.9569  454.978  66.5873
210.994  58.8183  466.221  55.8953
209.574  3.16483  339.506  61.1944
209.748  37.1002  432.105  72.6072
208.011  44.2444  451.434  68.9947
209.063  21.0357  374.014  74.019
210.065  57.0482  465.411  57.6785
210.436  44.4033  448.276  67.6996
212.006  45.043  447.468  66.4527
210.568  47.2179  452.947  65.5767
210.209  26.2478  393.618  74.4864
215.393  -29.025  325.649  29.8387
211.147  11.1679  353.578  66.5422
212.774  -8.98272  333.812  49.0526
209.442  21.9448  377.557  74.0656
212.846  50.9696  455.873  61.7529
209.098  49.9342  458.661  64.0229
209.316  21.5276  375.993  74.0105
208.99  20.5128  372.211  73.8477
210.852  45.4385  449.612  66.7556
211.139  21.9416  379.571  72.6014
209.149  42.4235  446.177  69.7527
210.373  31.9407  414.664  74.0426
212.962  40.101  435.991  68.9082
207.245  23.8722  382.031  76.6225
207.612  -2.9319  330.552  56.7408
213.26  40.1714  435.828  68.6776
209.164  36.4534  430.982  73.3349
211.152  39.0592  435.589  70.6434
210.485  38.2663  434.377  71.5069
210.549  37.5144  432.24  71.8487
208.635  47.0033  455.126  66.5742
213.823  23.1371  385.675  70.6312
