#  RA  Dec  l  b
207.37  -36.8375  315.665  24.5939
206.153  -7.78275  325.055  52.7889
203.129  -62.3252  307.674  0.1671
206.965  -48.3515  312.511  13.4671
205.383  6.43884  335.097  66.1301
207.534  -42.2699  314.38  19.2923
206.244  -0.754415  329.872  59.287
204.992  -23.4276  317.11  38.1036
204.538  -36.5887  313.284  25.3415
204.484  -6.0042  323.378  55.0104
201.124  -47.6292  308.677  14.8729
204.661  -60.9964  308.617  1.35245
207.05  -2.04472  330.279  57.7806
206.592  -15.5324  321.901  45.3057
203.918  -19.9727  316.895  41.696
204.594  -39.7237  312.655  22.2595
207.091  28.1231  40.7253  77.3594
204.816  6.49919  333.93  66.448
208.137  -43.839  314.429  17.6633
209.907  -45.3897  315.282  15.8394
207.663  -28.2676  318.455  32.8121
206.768  -40.9578  314.114  20.702
206.086  -19.1417  319.83  41.9866
206.479  -45.7164  312.778  16.1103
207.821  2.42328  335.578  61.441
202.794  0.548565  324.306  61.7594
206.162  13.5688  348.066  71.6071
202.946  -11.8824  318.315  49.7797
202.259  -38.7987  310.902  23.4898
205.271  -39.0912  313.348  22.7735
205.948  -32.7384  315.485  28.8531
205.699  14.4011  348.729  72.5305
205.533  -18.9346  319.227  42.3266
207.419  6.24063  339.081  64.9407
201.695  -15.0534  315.475  46.9551
206.093  6.30226  336.446  65.6678
207.254  -61.4196  309.755  0.686051
205.578  -34.33  314.738  27.3719
205.347  -28.1345  316.136  33.4524
201.38  -29.2648  311.792  33.0194
207.49  -31.6348  317.244  29.6044
203.755  -44.7721  311.009  17.4144
204.657  -7.1546  323.045  53.8633
203.531  3.84614  328.422  64.5836
208.784  -21.4249  322.129  39.0597
207.305  21.5768  13.164  75.73
203.268  26.2946  30.1588  80.6677
206.014  -42.575  313.149  19.2495
209.643  16.585  2.21667  71.2241
203.062  2.56273  326.343  63.5635
206.775  -1.39273  330.31  58.4879
205.01  -44.2069  312.042  17.8026
204.763  -13.4198  320.316  47.8376
208.058  29.528  46.6575  76.4191
206.292  -14.9927  321.738  45.9071
204.37  -30.769  314.471  31.0683
207.178  -47.9051  312.757  13.8702
208.072  -14.1386  324.481  46.1705
206.47  -23.4341  318.772  37.7565
204.572  -21.2546  317.289  40.3066
206.503  -58.2265  310.076  3.88538
205.492  -25.8184  316.949  35.6733
204.945  -49.5012  310.934  12.6173
202.698  36.9387  85.0732  77.1396
203.426  -29.1229  313.916  32.8451
206.357  -10.1467  324.094  50.4926
201.536  -51.4444  308.422  11.0565
205.7  15.7736  351.925  73.5381
207.603  -2.67595  330.73  56.9776
205.108  -36.9905  313.687  24.8551
208.593  -22.2051  321.601  38.3735
206.725  -25.9443  318.229  35.2736
207.524  4.40263  337.118  63.3109
204.532  -41.8016  312.174  20.2299
206.4  -20.4575  319.728  40.6402
207.939  -3.45489  330.696  56.1298
204.379  1.85389  328.462  62.4186
204.286  -39.9324  312.361  22.1002
204.441  16.7554  351.242  75.0846
205.709  10.4843  341.396  69.4207
206.339  -47.6245  312.254  14.2681
207.414  -6.55365  327.735  53.4901
207.559  3.12272  335.807  62.18
205.809  -35.2297  314.722  26.4525
203.957  -41.7186  311.741  20.3918
204.783  16.7487  352.128  74.8508
206.977  -26.4134  318.345  34.7616
207.698  -33.9987  316.745  27.275
205.931  -9.87349  323.607  50.8866
205.726  -17.4721  320.005  43.6861
200.079  -31.9576  310.034  30.5151
209.914  -25.3071  321.821  35.0489
207.394  -24.3816  319.47  36.615
207.079  -18.1123  321.449  42.7042
208.199  8.15959  343.206  66.1082
206.598  20.9707  9.71649  76.0375
206.643  -24.6361  318.565  36.5555
208.446  6.90679  341.958  64.941
206.054  -2.06132  328.544  58.1608
207.973  -9.03337  327.067  50.9826
203.97  -33.8202  313.385  28.1471
202.44  -38.592  311.09  23.6713
205.54  -15.2019  320.652  45.9165
206.282  -1.39956  329.439  58.6807
206.805  20.5167  8.48909  75.6461
205.676  -18.4103  319.593  42.796
204.102  -32.9885  313.694  28.9409
207.423  -22.5234  320.162  38.3905
204.398  -45.3193  311.372  16.794
206.272  -30.4136  316.427  31.0475
203.233  -5.33508  321.635  56.0218
203.748  -31.7606  313.634  30.2037
205.323  -11.6763  321.858  49.3539
208.95  -2.60219  333  56.4641
205.622  -4.13456  326.384  56.394
204.47  10.7989  338.935  70.3515
205.745  29.6309  48.3933  78.3968
204.22  -15.4869  318.778  45.9813
207.755  26.5342  33.7564  76.7025
203.716  -32.9223  313.346  29.0691
206.545  -3.34791  328.465  56.7845
206.795  7.65892  339.642  66.4713
207.216  -51.4743  311.958  10.3873
209.091  -13.1536  326.329  46.7464
205.817  3.76212  333.087  63.5566
206.542  -50.737  311.703  11.1995
204.942  -25.4591  316.458  36.1393
