#  RA  Dec  l  b
205.282  -28.1482  316.064  33.4524
206.15  -41.3027  313.547  20.4698
203.297  -31.2723  313.305  30.7565
204.363  -39.6238  312.487  22.392
205.844  -29.3836  316.292  32.1363
203.563  -35.458  312.666  26.6025
201.809  22.194  3.61123  80.4918
205.466  21.639  10.086  77.2829
207.189  -33.7075  316.366  27.6636
203.615  -53.7168  309.337  8.61833
204.097  13.6132  342.988  72.8869
207.877  9.28502  344.228  67.2055
204.337  -14.7909  319.192  46.6255
209.627  -30.1707  319.75  30.5001
205.997  -26.2684  317.355  35.1264
204.815  -37.2406  313.38  24.6582
206.301  -46.1134  312.563  15.7496
205.613  -9.77889  323.183  51.075
206.922  -53.6222  311.299  8.33228
206.694  -26.1561  318.129  35.0764
206.032  10.137  341.583  68.9548
203.404  -2.68032  323.406  58.504
204.417  -38.2186  312.827  23.7625
206.545  -47.6956  312.377  14.1688
208.934  -25.0486  320.886  35.5704
206.902  -8.39667  325.849  51.9572
206.715  -54.4642  310.995  7.53668
204.282  -8.39933  321.826  52.7874
203.989  -13.1266  319.345  48.3206
204.561  -30.9613  314.611  30.846
204.859  -55.5984  309.716  6.63913
211.403  -40.8707  317.739  19.8575
207.197  -59.1255  310.234  2.92977
207.023  -11.3552  324.435  49.1357
205.624  21.0252  8.00819  76.8562
203.895  15.2133  345.889  74.2752
199.953  -36.1092  309.32  26.4098
203.887  -16.4709  317.988  45.1067
205.531  14.986  349.635  73.0753
206.125  -51.5308  311.272  10.4788
203.171  4.58513  328.308  65.4036
205.728  -47.0954  311.95  14.8723
205.939  -2.11811  328.302  58.1523
203.933  -16.8698  317.913  44.7089
204.199  20.9282  4.42953  77.9388
207.346  7.99347  341.246  66.4522
207.243  -26.7281  318.522  34.395
204.076  -41.2288  311.931  20.8568
204.973  -0.771195  327.55  59.7635
206.164  -17.7851  320.438  43.2695
205.896  -40.9554  313.428  20.8503
205.749  20.6487  6.86067  76.563
201.927  -62.2012  307.14  0.373204
206.737  20.1518  7.10022  75.5136
205.668  -8.44343  323.951  52.3241
206.286  -46.06  312.564  15.8041
205.66  -17.4859  319.917  43.6899
205.907  -19.233  319.578  41.9447
205.411  -49.4425  311.25  12.6158
205.867  -18.0035  319.982  43.1382
206.941  -2.02144  330.111  57.8461
207.6  -44.2652  313.929  17.343
204.794  -36.2887  313.575  25.5937
203.645  -37.1045  312.401  24.972
205.374  -49.6244  311.189  12.4423
206.032  -42.375  313.208  19.4421
